original order,Case Number.1,Date,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Fatal (Y/N/U),Species,Injury,Investigator or Source,href
5533.0,2012.07.06,06-Jul-2012,Jul,2012.0,Não Provocado,south africa,Western Cape Province,"Sandstrand, Jongensfontein",Surfing,M,29,Não,15' shark,Lacerattions to left thigh & knee,"NSRI, 7/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.07.06-Mostert.pdf
5532.0,2012.06.28.R,Reported 28-Jun-2012,Jun,2012.0,Desconhecido,croatia,,Buccari Bay,Swimming,Desconhecido,60,Desconhecido,No shark involvement,"Leg struck. Initally reported as a shark attack, but involved a swordfish","Il Gazzettino, 6/28/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.28.R-Croatia.pdf
5531.0,2012.06.26.c,26-Jun-2012,Jun,2012.0,Não Provocado,usa,Florida,"Juno Beach, Palm Beach County",Swimming,M,6,Não,possibly a bull shark,Thigh bitten,"WPTV.com, 6/26/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.26.c-Bieber.pdf
5530.0,2012.06.26.b,26-Jun-2012,Jun,2012.0,Não Provocado,usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Não,Desconhecido,Nip to left foot,"H. Frederick, Headline Surfer, 6/26/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.26.b-NewSmyrnaBeach.pdf
5529.0,2012.06.26.a,26-Jun-2012,Jun,2012.0,Não Provocado,usa,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,16,Não,a small reef shark,Laceration to left calf,"Hawaii News Now, 6/26/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.26.a-StClair.pdf
5528.0,2012.06.22.b,22-Jun-2012,Jun,2012.0,Não Provocado,australia,Tasmania,South Cape Bay,Surfing,M,,Não,Desconhecido,"Knocked off board, shark bit nose off surfboard",J. Barthy,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.22.b-Barthy.pdf
5527.0,2012.06.22.a,22-Jun-2012,Jun,2012.0,Não Provocado,usa,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,12,Não,Desconhecido,Minor injury,WPTV.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.22.a-McInerney.pdf
5526.0,2012.06.20,20-Jun-2012,Jun,2012.0,Não Provocado,australia,Western Australia,"Mullaloo Beach, Perth",Surf skiing ,M,62,Não,3 m shark,"No injury, ski severely damaged","Perth Now, 6/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.20-Kane.pdf
5525.0,2012.06.19,19-Jun-2012,Jun,2012.0,Desconhecido,usa,South Carolina,"Myrtle Beach, Horry County",Standing,M,16,Desconhecido,No shark involvement,"Laceration to foot. Injured by a stingray, not a shark",C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.19-MyrtleBeach.pdf
5524.0,2012.06.18,18-Jun-2012,Jun,2012.0,Não Provocado,usa,North Carolina,"Ocean Isle, Brunswick County",Wading,F,6,Não,Desconhecido,Numerous puncture wounds to leg ,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.18-Daniel.pdf
5523.0,2012.06.15,15-Jun-2012,Jun,2012.0,Provocado,usa,Florida,"Summerland Key, Monroe County",Fishing,M,23,Não,Nurse shark,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,WSVN-TV,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.15-SummerlandKey.pdf
5522.0,2012.06.14.d,14-Jun-2012,Jun,2012.0,Não Provocado,usa,South Carolina,"Myrtle Beach, Horry County",Swimming,F,18,Não,small blacktip shark?,Foot & hand bitten,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.d-female-MyrtleBeach.pdf
5521.0,2012.06.14.c,14-Jun-2012,Jun,2012.0,Não Provocado,usa,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,Não,Shark involvement not confirmed,Minor injury,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.c-MyrtleBeach.pdf
5520.0,2012.06.14.b,14-Jun-2012,Jun,2012.0,Não Provocado,usa,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,Não,small blacktip shark?,Calf bitten,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.b-male-MyrtleBeach.pdf
5519.0,2012.06.14.a,14-Jun-2012,Jun,2012.0,Não Provocado,usa,South Carolina,"Myrtle Beach, Horry County",Swimming,M,16,Não,Blacktip shark ,Laceration to right foot,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.14.a-Garosalo.pdf
5518.0,2012.06.12,12-Jun-2012,Jun,2012.0,Não Provocado,australia,Victoria,Port Campbell,Surfing,M,42,Não,1.5 m shark,Laceration to right foot,"Herald Sun, 6/13/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.12-Higgins.pdf
5517.0,2012.06.10,10-Jun-2012,Jun,2012.0,Provocado,italy,Sardinia,Muravera,Attempting to rescue an injured & beached shark,M,57,Desconhecido,"Blue shark, 2.5m",Lower left leg injured PROVOKED ACCIDENT,"D. Puddo, 6/11/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.10-Zara.pdf
5516.0,2012.06.03,03-Jun-2012,Jun,2012.0,Não Provocado,australia,New South Wales,"Redhead Beach, Newcastle",Surf skiing ,M,30,Não,"White shark, 2 m","No injury, ski bitten","Newcastle Herald, 6/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.03-Ayre.pdf
5515.0,2012.06.02.b,02-Jun-2012,Jun,2012.0,Não Provocado,usa,Florida,"Bethune Beach, Volusia County",Surfing,F,12,Não,Desconhecido,Laceration to thigh,"J. Horton, West Volusia Bulletin, 6/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.02.b-DelRosso.pdf
5514.0,2012.06.02.a,02-Jun-2012,Jun,2012.0,Não Provocado,usa,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,25,Não,Desconhecido,Severe laceration to foot,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.06.02.a-Maczynski.pdf
5513.0,2012.05.31,31-May-2012,Mai,2012.0,Não Provocado,usa,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,33,Não,"18"" to 24"" shark",Foot bitten,C. Creswell,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.31-Konkler.pdf
5512.0,2012.05.29,29-May-2012,Mai,2012.0,Não Provocado,mexico,Guerrero," Boca de la Leña, La Unión",Free diving / spearfishing,M,46,Não,"Bull shark, 3m",Left hand severed,"El Sol ee Morelia, 5/30/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.29-Navarrette.pdf
5511.0,2012.05.23,23-May-2012,Mai,2012.0,Não Provocado,usa,Florida,"Jacksonville, Duval County",Surfing,M,22,Não,4' to 5' shark,Lacerations to foot,"First Coast News, 5/24/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.23-Renfro.pdf
5510.0,2012.05.20,20-May-2012,Mai,2012.0,Barco,usa,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,,Não,"Tiger shark, 8' to 9' ","No injury, teethmarks in kayak","Hawaii Now, 5/25/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.20-Gallardo.pdf
5509.0,2012.05.16,16-May-2012,Mai,2012.0,Não Provocado,fiji,,Matacucu Reef ,Spearfishing,M,20,Não,Desconhecido,Lacerations to head,"Fiji Times, 5/17/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.16-Naborisi.pdf
5508.0,2012.05.12,12-May-2012,Mai,2012.0,Barco,usa,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,M,30,Não,White shark,"No injury, kayaker fell in the water when kayak bitten by a shark",R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.12-Nocchi.pdf
5507.0,2012.05.09,09-May-2012,Mai,2012.0,Não Provocado,usa,Florida,"Vero Beach, Indian River County",Swimming,F,47,Não,Desconhecido,Upper left thigh bitten,News Channel 5,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.09-Stei.pdf
5506.0,2012.05.06,06-May-2012,Mai,2012.0,Não Provocado,usa,California,Off Catalina Island,Paddle boarding,F,15,Não,White shark,"No injury, shark bit paddleboard","R. Collier, A. Brenneka",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.05.06-McKereghan.pdf
5505.0,2012.04.19.b,19-Apr-2012,Abr,2012.0,Não Provocado,usa,Florida,"Indialantic, Brevard County",Surfing,M,28,Não,5' shark,Lacerations to hand,"MyFoxOrlando, 4/19/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.b-Ellingham.pdf
5504.0,2012.04.19.a,19-Apr-2012,Abr,2012.0,Não Provocado,south africa,Western Cape Province,Caves near Kogel Bay,Body boarding,M,20,Sim,"White shark, 4 m to 5m ",FATAL,"News 24, 4/19/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.19.a-Lilienfeld.pdf
5503.0,2012.04.11,11-Apr-2012,Abr,2012.0,Barco,australia,South Australia,"Dolphin Bay, Innes National Park",Kayaking,M,27,Não,"White shark, 6m ",Minor wound to his thigh when shark bit kayak,"Adelaide Now, 4/12/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.11-Demasi.pdf
5502.0,2012.04.03,03-Apr-2012,Abr,2012.0,Não Provocado,usa,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,28,Não,"Tiger shark, 10'  ",Lacerations to left foot,"Hawaii News Now, 4/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.03-Holley.pdf
5501.0,2012.04.00,Apr-2013,Abr,2012.0,Não Provocado,usa,Florida,"Sanibel Island, Lee County",Desconhecido,M,,Não,a small shark,Right shin bitten,"Morning Sentinel, 4/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.04.00-Hapworth.pdf
5500.0,2012.03.31,31-Mar-2012,Mar,2012.0,Não Provocado,australia,Western Australia,Stratham Beach,Scuba diving,M,33,Sim,"White shark, 4m ",FATAL,"Associated Press, 3/31/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.31-Kurmann.pdf
5499.0,2012.03.24,24-Mar-2012,Mar,2012.0,Não Provocado,usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Não,Desconhecido,Minor lacerations to foot,"H. Frederick, NSB News, 3/24/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.24-Coppola.pdf
5498.0,2012.03.22,22-Mar-2012,Mar,2012.0,Barco,australia,Western Australia,Kalbarri,Crayfishing,Desconhecido,,Não,White shark,"No injury to occupants. Shark bit propelle, rope & crayfish float","Sydney Morning Herald, 3/22/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.22-Kalbarri-fishermen.pdf
5497.0,2012.03.20,20-Mar-2012,Mar,2012.0,Não Provocado,australia,Queensland,Nobby's Beach,Surfing,M,20,Não,Possibly a bull shark,Lacerations to left calf,"Courier Mail, 3/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.20-OLeary.pdf
5496.0,2012.03.15,15-Mar-2012,Mar,2012.0,Não Provocado,usa,Florida,"Jensen Beach, Martin County ",Surfing,M,61,Não,Possibly a 5' to 6' bull shark,Left forearm bitten,"WPBF.com, 3/16/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.15-Wacha.pdf
5495.0,2012.03.14.b,14-Mar-2012,Mar,2012.0,Não Provocado,usa,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,Não,4' to 5' shark,Bitten on ankle,"C. Graham, Daytona Beach News-Journal, 3/14/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.b-Levy.pdf
5494.0,2012.03.14.a,14-Mar-2012,Mar,2012.0,Não Provocado,usa,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Não,4' to 5' shark,Bitten on calf,"C. Graham, Daytona Beach News-Journal, 3/14/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.14.a-Romano.pdf
5493.0,2012.03.06.b,06-Mar-2012,Mar,2012.0,Não Provocado,new zealand,North Island,"Opunake, Taranake",Surfing,M,,Não,Desconhecido,Lacerations to left calf,"NZ Herald, 3/7/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.b-Garrett.pdf
5492.0,2012.03.06.a,06-Mar-2012,Mar,2012.0,Provocado,australia,Victoria,"Shipwreck Cove, Melbourne Aquarium","Diving, feeding sharks",F,34,Não,"Tawny nurse shark, 40cm",Superficial lacerations to right side of face PROVOKED ACCIDENT,"The Age, 3/6/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.06.a-MelbourneAquarium.pdf
5491.0,2012.03.05,05-Mar-2012,Mar,2012.0,Não Provocado,reunion,Saint-Benoit,Port de la Marine,Body boarding,M,31,Não,Desconhecido,"No injury, board bitten","Clicanoo, 3/5/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.05-Itema.pdf
5490.0,2012.03.04,04-Mar-2012,Mar,2012.0,Não Provocado,usa,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,19,Não,4' shark,Lacerations to left calf,Brevard Times,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.04-Worrall.pdf
5489.0,2012.03.03,03-Mar-2012,Mar,2012.0,Desconhecido,saudi arabia,Tabuk Province,Off Duba,Attempting to Kite surf from Egypt to Saudi Arabia,M,42,Desconhecido,Desconhecido,Harassed by sharks but not injured by them,"Polskie Radio, 3/5/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.03-Lisewski.pdf
5488.0,2012.03.01,01-Mar-2012,Mar,2012.0,Provocado,chile,Antofagasta Province,Antofagasta,Fishing (illegally),M,,Não,Desconhecido,Hand injured PROVOKED INCIDENT,"Soychile.cl, 3/1/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.03.01-Salomon.pdf
5487.0,2012.02.26,26-Feb-2012,Fev,2012.0,Provocado,usa,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,,Não,Spinner shark,Laceration to right foot when he struck a shark PROVOKED INCIDENT,"Aspen Daily News, 2/29/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.26-Lasser.pdf
5486.0,2012.02.25,25-Feb-2012,Fev,2012.0,Não Provocado,australia,New South Wales,Broughton Island,Fishing,M,,Não,Grey nurse shark,Laceration to left foot,"B. Smee, Newcastle Herald, 2/27/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.25-BroughtonIslandFisherman.pdf
5485.0,2012.02.20,20-Feb-2012,Fev,2012.0,Barco,south africa,Western Cape Province,Strandfontein,Fishing,Desconhecido,,Não,"White shark, 7m","No injury to occupants, boat damaged","Cape Argus, 2/21/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.20-StrandfonteinBoat.pdf
5484.0,2012.02.06,06-Feb-2012,Fev,2012.0,Não Provocado,australia,Queensland,Wurtulla,Surfing,M,29,Não,Desconhecido,"No injury, but fin lost from surfboard","Sunshine Coast Daily, 2/7/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.02.06-Ferguson.pdf
5483.0,2012.01.27,27-Jan-2012,Jan,2012.0,Não Provocado,usa,Hawaii,Lanai,Snorkeling,Desconhecido,,Não,6' to 8' shark,"No injury, shark bit swim fin",HawaiiNow.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.27-NV-Graden.pdf
5482.0,2012.01.19,19-Jan-2012,Jan,2012.0,Não Provocado,australia,Western Australia,Coral Bay,Snorkeling,M,26,Não,"Tiger shark, 3m",Lacerations to right forearm,"Sydney Morning Herald, 1/20/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.19-Pickering.pdf
5481.0,2012.01.22.R,Reported 22-Jan-2012,Jan,2012.0,Não Provocado,bahamas,,Cat Island,"Diving, photographing sharks",M,,Não,Tiger shark,"No injury, shark grabbed his camera","Evening Chronicle, 1/23/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.22.R-Bahamas.pdf
5480.0,2012.01.18.b,18-Jan-2012,Jan,2012.0,Provocado,taiwan,Taitung ,Taimali,Fishing,M,24,Não,"Blue shark, 70-kg blue shark",Bitten on left thigh     PROVOKED ACCIDENT,Taiwan television,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.b-Taiwan.pdf
5479.0,2012.01.18.a,18-Jan-2012,Jan,2012.0,Não Provocado,australia,New South Wales,Redhead Beach,Surfing,M,44,Não,"White shark, 2.7 m",Lacerations to thigh,V. Peddemors,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.18.a-Folkard.pdf
5478.0,2012.01.15,15-Jan-2012,Jan,2012.0,Não Provocado,south africa,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,Sim,Thought to involve a bull shark,FATAL,"News 24, 1/15/2012; R. Bonorchis, Bloomberg News, 1/16/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.15-Msungubana.pdf
5477.0,2012.01.13,13-Jan-2012,Jan,2012.0,Não Provocado,usa,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,Não,White shark,"No injury, surfboard damaged",R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.13-Harnack.pdf
5476.0,2012.01.03,03-Jan-2012,Jan,2012.0,Não Provocado,australia,New South Wales,North Avoca Beach,Surfing,M,28,Não,2 m shark,Right forearm and wrist injured,"Daily Telegraph, 1/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.03-Wells.pdf
5475.0,2012.01.02,02-Jan-2012,Jan,2012.0,Não Provocado,australia,Queensland,Duranbah,Spearfishing,M,34,Não,Allegedly a 4 m tiger shark,"No injury, punctures to swim fin","A. Brenneka, goldcoast.com.au, 1/3/2012",http://sharkattackfile.net/spreadsheets/pdf_directory/2012.01.02-Hugo-Ricardo-Mendes-da-Silva.pdf
5474.0,2011.12.31,31-Dec-2011,Dez,2011.0,Não Provocado,usa,Florida,"Jupiter, Palm Beach County",Desconhecido,M,,Não,Desconhecido,Hand injured,"Palm Beach Post,  12/31/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.31-Jupiter.pdf
5473.0,2011.12.26.R,Reported 26-Dec-2011,Dez,2011.0,Desconhecido,antigua,St John's,Fort James Beach,Swimming,M,,Desconhecido,Shark involvement not confirmed,Bitten on right hand & wrist,"D. Francis, Caribarena, 12/26/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.26.R-Edwards.pdf
5472.0,2011.12.25,25-Dec-2011,Dez,2011.0,Não Provocado,ecuador,Santa Elena,Barandúa Beach,Surfing,M,23,Não,Desconhecido,Lacerations to left thigh and calf,"A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.25-Trejos.pdf
5471.0,2011.12.23,23-Dec-2011,Dez,2011.0,Não Provocado,usa,Florida,New Smyrna Beach,Surfing,M,27,Não,Desconhecido,Laceration to ankle,"Daytona Beach News-Journal, 12/24/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.23-Futato.pdf
5470.0,2011.12.21.b,21-Dec-2011,Dez,2011.0,Provocado,usa,Hawaii,"Makahuena Point, Kauai",Canoeing,M,,Não,7' to 8' shark ,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT","A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.b-Miyake.pdf
5469.0,2011.12.21.a,21-Dec-2011,Dez,2011.0,Barco,south africa,Eastern Cape Province,"Noordhoek, Port Elizabeth",Kayak Fishing,M,35,Não,Desconhecido,No injury but kayak dented,"Port Elizabeth Herald, 12/22/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.21.a-Coetzee.pdf
5468.0,2011.12.11,11-Dec-2011,Dez,2011.0,Não Provocado,australia,New South Wales,Angourie,Surfing,M,51,Não,"White shark, 2.5m",5 puncture wounds to thigh,"Daily Examiner, 12/11/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.11-King.pdf
5467.0,2011.12.07.b,07-Dec-2011,Dez,2011.0,Desconhecido,south africa,KwaZulu-Natal,Between Sodwana & Cape Vidal,Surf skiing ,M,,Desconhecido,Shark involvement not confirmed,"No injury, ski damaged","Durban Daily News, 12/8/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.b-Kohler.pdf
5466.0,2011.12.07.a,07-Dec-2011,Dez,2011.0,Não Provocado,australia,New South Wales,Maroubra,Surfing,M,14,Não,Wobbegong shark,Minor injuries to left leg ,"The Australian, 12/12/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.07.a-Mason.pdf
5465.0,2011.12.06,06-Dec-2011,Dez,2011.0,Não Provocado,usa,Oregon,Seaside Cove,Surfing,F,,Não,Desconhecido,Minor injury to calf ,"Seaside Signal, 12/6/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.06-Seaside-Oregon.pdf
5464.0,2011.12.05,05-Dec-2011,Dez,2011.0,Desconhecido,australia,Queensland,Bushy Ilet,Spearfishing,Desconhecido,,Desconhecido,Shark involvement not confirmed,Killed by a shark or crocodile.,"H. Beck, Cairns.com, 12/7/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.05-Forsden.pdf
5463.0,2011.12.02,02-Dec-2011,Dez,2011.0,Não Provocado,australia,New South Wales,Broken Head,Surfing,M,63,Não,Desconhecido,Torn shoulder ligament as result of collision with shark,"Northern Star, 12/3/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.12.02-Carter.pdf
5462.0,2011.11.29,29-Nov-2011,Nov,2011.0,Não Provocado,indonesia,Bali,Tabanan,Surfing,M,18,Não,Desconhecido,Lacerations to right hand,"Daily Telegraph, 11/30/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.29-Andrews.pdf
5461.0,2011.11.28,28-Nov-2011,Nov,2011.0,Não Provocado,australia,Queensland,Peregian,Swimming,M,10,Não,Wobbegong shark?,Puncture marks to foot,"Sunshire Coast Daily, 12/1/2011 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.28-Kriz-not-on-spreadsheet.pdf
5460.0,2011.11.22,22-Nov-2011,Nov,2011.0,Barco,usa,California,Pigeon Point,Kayaking,M,,Não,"White shark, 15' to 16'","No injury, kayak bitten",R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.22-Harry-Pali.pdf
5459.0,2011.11.20.R,Reported 20-Nov-2011,Nov,2011.0,Não Provocado,papua new guinea,East New Britain,Pigeon Island,Scuba diving,M,,Não,Desconhecido,"No injury, shark collided with diver","you Tube, Shark Attack at 57 metres",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.20.R-PigeonIsland.pdf
5458.0,2011.11.12,12-Nov-2011,Nov,2011.0,Não Provocado,brazil,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,35,Não,Desconhecido,Legs bitten,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.12-Periera-Pernambuco.pdf
5457.0,2011.11.11,11-Nov-2011,Nov,2011.0,Não Provocado,reunion,Bois-Blanc ,Sainte-Rose,Free diving / spearfishing,M,42,Não,Desconhecido,Left foot bitten,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.11.11-Delaunay.pdf
5456.0,2011.10.29.,  29-Oct-2011,Out,2011.0,Não Provocado,usa,California,"Marina State Beach, Monterey County",Surfing,M,27,Não,White shark,"Lacerations to right wrist, foream & neck",R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.29-Tarantino.pdf
5455.0,2011.10.28.R,Reported 28-Oct-2011,Out,2011.0,Não Provocado,scotland,Moray,Spey Bay,Surfing,M,26,Não,8' to 10' shark,"No injury, shark bumped leg & board. ","Daily Record, 10/28/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.28.R-Rollo.pdf
5454.0,2011.10.28.,  29-Oct-2011,Out,2011.0,Provocado,south africa,KwaZulu-Natal,"uShaka Aquarium, Durban",Diving,Desconhecido,,Não,Raggedtooth shark,Arm bitten by captive shark PROVOKED INCIDENT,"Durban Radio, 10/29/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.28-uShaka-Aquarium.pdf
5453.0,2011.10.22,22-Oct-2011,Out,2011.0,Não Provocado,australia,Western Australia,Rottnest Island,Diving,M,32,Sim,"White shark, 10'",FATAL,"Sky News, 10/22/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.22-Wainwright.pdf
5452.0,2011.10.20,20-Oct-2011,Out,2011.0,Não Provocado,usa,Oregon,"Newport, Lincoln County",Surfing,M,41,Não,"White shark, 15'","No injury, shark bit surfboard",R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.20-Gumm.pdf
5451.0,2011.10.19,19-Oct-2011,Out,2011.0,Não Provocado,australia,Victoria,Elwood Beach,Diving,M,50,Não,"Port Jackson shark, 1m",Small bruise to calf,"The Age, 10/20/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.19-Houston.pdf
5450.0,2011.10.11,11-Oct-2011,Out,2011.0,Não Provocado,usa,Florida,Cape Canaveral,Surfing,M,,Não,3' shark,Foot bitten,T. Riley,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.11-Riley.pdf
5449.0,2011.10.10,10-Oct-2011,Out,2011.0,Não Provocado,usa,Oregon,Seaside,Surfing,M,,Não,10' to 12' shark,No injury,"R.Collier; KATU News, 10/11/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.10-Niblack.pdf
5448.0,2011.10.09,09-Oct-2011,Out,2011.0,Não Provocado,australia,Western Australia,Cottesloe Beach,Swimming,M,64,Sim,Desconhecido,FATAL,"Perth Now, 10/11/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.09-Martin.pdf
5447.0,2011.10.05,05-Oct-2011,Out,2011.0,Barco,reunion,,Cap La Houssaye,Canoeing,M,51,Não,2 to 2.5 m shark,No injury to occupant,"Clicanoo, 10/5/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.05-Castellani.pdf
5446.0,2011.10.02,02-Oct-2011,Out,2011.0,Não Provocado,usa,Florida,"Santa Maria Island, Manatee County",Wade fishing,M,,Não,Desconhecido,Minor injury to thigh,"Herald Tribune, 10/2/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.02-Perez.pdf
5445.0,2011.10.01,01-Oct-2011,Out,2011.0,Não Provocado,usa,Alabama,"Gulf Shores, Baldwin County",Desconhecido,M,29,Não,Desconhecido,Lacerations to right wrist and middle finger,WKRG,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.10.01-Meade.pdf
5444.0,2011.09.30,30-Sep-2011,Set,2011.0,Desconhecido,usa,Puerto Rico,Hatillo Beach,Surfing,M,27,Desconhecido,No shark involvement,Lacerations to lower right leg ,"El Nuevodia, 9/30/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.30-Casanova.pdf
5443.0,2011.09.28.b,28-Sep-2011,Set,2011.0,Provocado,dominican republic,Samaná Province,Playa Jackson ,Fishing,M,48,Não,Desconhecido,Severe injuries to left arm PROVOKED INCIDENT,"Hoy Digital, 9/28/2011",http://sharkattackfile.net/spreadsheets/pdf_directory/2011.09.28.b-Sarante.pdf
